question,context
Which king ruled during the French Revolution?,"At the time of the French Revolution, France was ruled by Louis XVI.He was the last King of France before the fall of the monarchy during the French Revolution.His indecisiveness and conservatism, especially the belief in the Divine Right of Kings made him an unpopular figure in France. He was seen as the symbol of the Ancien Regime and for all the ills it stood for.Following the storming of the Bastille, Louis XVI was forced to recognise legislative authority of the National Assembly. He made an unsuccessful attempt to flee from France in June 1791 but he was captured and his image suffered further as a result. Louis was then tried by the National Convention, found guilty of high treason, and executed by guillotine on 21 January 1793. He is the only monarch in French history to be ever executed, bringing an end to a thousand years of continuous French monarchy."
What is the Napoleonic code?,"The Napoleonic Code. officially the Civil Code of the French is the French civil code established under the French Consulate in 1804. It is still in force today, although it has been amended from time to time.Although it was not the legal code in the world, it was the first modern legal code to be adopted with a pan-European scope, and it strongly influenced the law of many of the countries formed during and after the Napoleonic Wars."
What are the main features of the Napoleonic Code?,"The main features of the Napoleonic Codes are as follows:The Napoleonic code abolished the feudal system and freed peasants from serfdom and manorial dues.Napoleon simplified administrative divisions.The Code established the supremacy of the husband over his wife and children.The code also prohibited judges from refusing justice on grounds of insufficiency of the law, thereby encouraging them to interpret the law."
Did Napoleon conquer Cairo?,"Yes, Napoleon did conquer Cairo as well as Alexandria when he led an expedition to Ottoman-held Egypt and Syria in 1793.It was the primary purpose of the Mediterranean campaign of 1798, a series of naval engagements that included the capture of Malta. The campaign ended in defeat for Napoleon, and the withdrawal of French troops from the region. Napoleon believed that by cutting off Britain’s trade with India, that passed through Egypt at the time, he could have dealt an economic blow to the British isles, but his plan did not work in the long run as the British and their Ottoman allies fought hard against the French and won."
Why was Napoleon so successful?,His organizational skills that overcame many obstacles with regards to logistics that was the bane for many 18th century European armies.His strong rapport with his troops that always boosted morale in crucial battles.His unconventional tactics that always caught his enemies off guard.His ability to focus on a single objective.
What was the name of the person or the army that defeated Napoleon?,"Napoleon was defeated by Arthur Wellesley, the 1st Duke of Wellington.Wellington is famous for his adaptive defensive style of warfare, resulting in several victories against numerically superior forces while minimising his own losses. He is regarded as one of the greatest defensive commanders of all time, and many of his tactics and battle plans are still studied in military academies around the world."
Who was the father of the French Revolution?,"Jean Jacques Rousseau is widely regarded as the father of the French Revolution. His political philosophy influenced the progress of the Enlightenment throughout Europe, as well as aspects of the French Revolution and the development of modern political, economic, and educational thought."
When was Napoleon defeated?,"Napoleon was defeated at the battle of Waterloo on June 18, 1815. He was defeated by a coalition of nations consisting of Prussia, Britain and the Netherlands.Such was the magnitude of her defeat that the idiom ‘he/she has met their Waterloo’ signifies a personal disaster of great magnitude.Napoleon abdicated after his defeat, and coalition forces entered Paris on 7 July. The defeat at Waterloo ended Napoleon’s rule as Emperor of the French and marked the end of his Hundred Days return from exile. The abdication of Napoleon ended the  First French Empire and led to a relative period of peace and stability often referred to as the Pax Britannica."
Which person is credited with the abolition of slavery in France?,"The convention, the first elected Assembly of the First Republic under the leadership of Maximilien Robespierre on 4 February 1794. It was restored by Napoleon in order to maintain French sovereignty in its colonies.However it was not fully enforced. One of its colonies, Haiti declared independence and it became the first sovereign state the Western Hemisphere to unconditionally abolish slavery in the modern era."
Why did Japan join WW2?,"As an island nation Japan faced shortages in oil and natural resources. Its imperial expansions in China had resulted in an oil embargo imposed by the United States. Therefore Japan’s leaders were consumed with the desire of replacing the United States as the dominant power of the Pacific.Japan decided to attack the United States and British forces in Asia and seize the resources of Southeast Asia. To this end Jaan desired to create the “Greater Asia Co-Prosperity Sphere”, which was a euphemism for a colonial empire where resources were to be extracted from Japanese holdings in Manchuria, Korea, and North China."
What was the basic difference between Devendranath Tagore and Keshab Chandra Sen?,"The basic difference between Devendranath Tagore and Keshab Chandra Sen was their views. Devendranath Tagore wanted the Brahmo Samaj to be more Indian in nature and way of doing things and was against imitating western ideas.Keshab Chandra Sen on the other hand was influenced by western civilization and ideas and was of the opinion that western thoughts could better reform Indian society.Keshub Chandra Sen was a Hindu philosopher and social reformer who attempted to incorporate Christian theology within the framework of Hindu thought.Devendranath Tagore (also spelt as Debendranath Tagore) was a Hindu philosopher and religious reformer, active in the Brahmo Samaj. He was the founder in 1848 of the Brahmo religion, which today is synonymous with Brahmoism. "
What is the Khalistan issue?,"The Khalistan issue refers to a Sikh separatist movement that seeks to establish a Sikh homeland within the Punjab region. The proposed state would consist of land that currently forms Punjab, India and Punjab, Pakistan.The Khalistan issue came to a head in 1983 when a religious militant leader Jarnail Singh Bhindranwale seized the Golden Temple with his armed followers. This prompted Prime Minister Indira Gandhi to launch ‘Operation Blue Star’ that resulted in the deaths of Bhindranwale and his followers and massive damage to the Golden Temple. In the aftermath, PM Indira Gandhi was assassinated by her own Sikh bodyguards.In the 1990s, the insurgency petered out and the movement failed to reach its objective for multiple reasons including a heavy police crackdown on separatists, factional infighting, and disillusionment from the Sikh population."
